date,dur
2012-04-22,99738.39	
2012-04-23,97166.70	
2012-04-24,106289.71	
2012-04-25,114195.88	
2012-04-26,121605.95	
2012-04-27,125799.51	
2012-04-28,113579.14	
2012-04-29,96367.62	
2012-04-30,95636.72	
2012-05-01,107150.28	
2012-05-02,115848.81	
2012-05-03,118833.32	
2012-05-04,121156.53	
2012-05-05,112139.19	
2012-05-06,94444.00	
2012-05-07,98692.51	
2012-05-08,107785.96	
2012-05-09,115343.39	
2012-05-10,121841.54	
2012-05-11,122639.42	
2012-05-12,112878.05	
2012-05-13,94656.85	
2012-05-14,101617.21	
2012-05-15,117190.88	
2012-05-16,119663.51	
2012-05-17,126850.75	
2012-05-18,126164.61	
2012-05-19,115874.47	
2012-05-20,97965.75	
2012-05-21,105392.19	
2012-05-22,106366.48	
2012-05-23,112612.49	
2012-05-24,121506.91	
2012-05-25,104372.53	
2012-05-26,82089.68	
2012-05-27,68836.70	
2012-05-28,60562.26	
2012-05-29,98912.99	
2012-05-30,110054.44	
2012-05-31,116672.89	
2012-06-01,118781.01	
2012-06-02,102096.25	
2012-06-03,94473.25	
2012-06-04,102943.44	
2012-06-05,109515.61	
2012-06-06,115787.93	
2012-06-07,122702.18	
2012-06-08,120728.49	
2012-06-09,103033.87	
2012-06-10,89309.98	
2012-06-11,95383.88	
2012-06-12,114296.71	
2012-06-13,114807.65	
2012-06-14,119939.50	
2012-06-15,120419.00	
2012-06-16,101086.73	
2012-06-17,85900.78	
2012-06-18,92082.47	
2012-06-19,104894.51	
2012-06-20,115755.80	
2012-06-21,119755.82	
2012-06-22,120514.26	
2012-06-23,104233.21	
2012-06-24,92820.75	
2012-06-25,92936.06	
2012-06-26,105038.73	
2012-06-27,114006.22	
2012-06-28,120389.26	
2012-06-29,117984.57	
2012-06-30,94494.67	
2012-07-01,77889.42	
2012-07-02,78227.78	
2012-07-03,88605.86	
2012-07-04,64822.17	
2012-07-05,78899.53	
2012-07-06,85244.17	
2012-07-07,77861.62	
2012-07-08,74601.34	
2012-07-09,86370.69	
2012-07-10,99924.58	
2012-07-11,108084.14	
2012-07-12,115111.56	
2012-07-13,111715.79	
2012-07-14,92541.98	
2012-07-15,84858.13	
2012-07-16,93758.63	
2012-07-17,105407.32	
2012-07-18,109305.72	
2012-07-19,114308.03	
2012-07-20,116139.26	
2012-07-21,90159.89	
2012-07-22,81836.04	
2012-07-23,92777.08	
2012-07-24,102622.40	
2012-07-25,109319.00	
2012-07-26,112797.89	
2012-07-27,111629.85	
2012-07-28,93082.30	
2012-07-29,78997.76	
2012-07-30,89185.37	
2012-07-31,99031.70	
2012-08-01,109628.21	
2012-08-02,110068.85	
2012-08-03,109762.21	
2012-08-04,92561.76	
2012-08-05,82353.10	
2012-08-06,87850.68	
2012-08-07,95698.54	
2012-08-08,102707.45	
2012-08-09,108192.24	
2012-08-10,106392.17	
2012-08-11,89611.39	
2012-08-12,79947.08	
2012-08-13,81854.80	
2012-08-14,94047.45	
2012-08-15,102894.82	
2012-08-16,106602.38	
2012-08-17,104841.09	
2012-08-18,92112.34	
2012-08-19,74208.80	
2012-08-20,79690.85	
2012-08-21,90999.03	
2012-08-22,97606.43	
2012-08-23,102648.22	
2012-08-24,101023.15	
2012-08-25,89894.60	
2012-08-26,81005.32	
2012-08-27,80904.10	
2012-08-28,90878.16	
2012-08-29,95856.16	
2012-08-30,100783.81	
2012-08-31,102478.12	
2012-09-01,84079.87	
2012-09-02,74895.38	
2012-09-03,63602.03	
2012-09-04,95722.43	
2012-09-05,112096.60	
2012-09-06,121806.17	
2012-09-07,126851.65	
2012-09-08,114646.45	
2012-09-09,96730.99	
2012-09-10,98942.03	
2012-09-11,102540.63	
2012-09-12,115526.56	
2012-09-13,120475.20	
2012-09-14,122670.00	
2012-09-15,108079.00	
2012-09-16,88498.19	
2012-09-17,75036.64	
2012-09-18,95538.92	
2012-09-19,113142.55	
2012-09-20,120242.16	
2012-09-21,124038.45	
2012-09-22,112455.30	
2012-09-23,93490.22	
2012-09-24,95916.42	
2012-09-25,92917.91	
2012-09-26,85864.67	
2012-09-27,117315.72	
2012-09-28,123475.16	
2012-09-29,112225.47	
2012-09-30,92742.35	
2012-10-01,87952.41	
2012-10-02,103794.53	
2012-10-03,105137.01	
2012-10-04,115736.73	
2012-10-05,119544.72	
2012-10-06,110357.63	
2012-10-07,96305.80	
2012-10-08,74170.03	
2012-10-09,98937.28	
2012-10-10,109895.31	
2012-10-11,116993.31	
2012-10-12,122997.09	
2012-10-13,110187.80	
2012-10-14,95178.86	
2012-10-15,95493.18	
2012-10-16,105172.59	
2012-10-17,109759.90	
2012-10-18,117712.89	
2012-10-19,124967.66	
2012-10-20,114140.71	
2012-10-21,94871.54	
2012-10-22,91913.70	
2012-10-23,105279.59	
2012-10-24,108612.81	
2012-10-25,117774.86	
2012-10-26,108302.24	
2012-10-27,112318.39	
2012-10-28,82742.90	
2012-10-29,17468.09	
2012-10-30,36394.92	
2012-10-31,90675.22	
2012-11-01,73385.19	
2012-11-02,63865.44	
2012-11-03,75860.14	
2012-11-04,75178.78	
2012-11-05,80003.45	
2012-11-06,88392.66	
2012-11-07,92929.74	
2012-11-08,98484.86	
2012-11-09,116397.43	
2012-11-10,104464.07	
2012-11-11,91453.58	
2012-11-12,91676.11	
2012-11-13,108962.91	
2012-11-14,113525.04	
2012-11-15,119121.91	
2012-11-16,123192.44	
2012-11-17,112299.10	
2012-11-18,92807.18	
2012-11-19,94960.77	
2012-11-20,107197.06	
2012-11-21,104896.76	
2012-11-22,61127.20	
2012-11-23,64590.61	
2012-11-24,80956.05	
2012-11-25,80107.10	
2012-11-26,91310.86	
2012-11-27,107313.07	
2012-11-28,107894.42	
2012-11-29,116635.37	
2012-11-30,122236.02	
2012-12-01,115621.83	
2012-12-02,95388.99	
2012-12-03,95908.85	
2012-12-04,107090.03	
2012-12-05,113599.85	
2012-12-06,121876.58	
2012-12-07,128033.41	
2012-12-08,116870.20	
2012-12-09,98628.39	
2012-12-10,96394.39	
2012-12-11,108169.09	
2012-12-12,116854.18	
2012-12-13,123524.19	
2012-12-14,127163.68	
2012-12-15,120695.21	
2012-12-16,98440.92	
2012-12-17,97079.81	
2012-12-18,106607.42	
2012-12-19,112714.06	
2012-12-20,115494.77	
2012-12-21,115223.66	
2012-12-22,92365.82	
2012-12-23,70818.86	
2012-12-24,59120.54	
2012-12-25,39364.64	
2012-12-26,66689.85	
2012-12-27,80453.66	
2012-12-28,90461.06	
2012-12-29,79614.01	
2012-12-30,81029.03	
2012-12-31,80694.40	
